annee,departement,sejours,nuitees,conso_touristique,duree_sejour,repeaters,hebergement_marchand,voyagent_individuel,motif_personnel,depense_jour_personne,budget_sejour,satisfaction_globale,nps,intention_revenir,transport_avion,transport_train,transport_route,satisfaction_proprete,satisfaction_securite,satisfaction_restauration,satisfaction_transport,satisfaction_culture,sejours_total_idf,nuitees_total_idf,is_covid,repeaters_pct,satisfaction_globale_pct,hebergement_marchand_pct,voyagent_individuel_pct,motif_personnel_pct,transport_avion_pct,transport_train_pct,transport_route_pct,satisfaction_proprete_pct,satisfaction_securite_pct,satisfaction_restauration_pct,satisfaction_transport_pct,satisfaction_culture_pct,intention_revenir_pct,part_sejours_idf,zone,evol_sejours_pct,depense_totale_estimee,zone_detail,code_dept,sejours_millions,nuitees_millions,conso_milliards
2014,Essonne,1790964.35471361,5551239.578269495,489422347.8425542,3.0995812751154297,0.9203651,0.4065589,0.9513355,0.6731194,88.1645155,273.273081373424,0.936405,15.033479999999996,0.7238072,0.1606672,0.1253068,0.714026,0.659951,0.7167512,0.902773,0.7813786,0.9630109,45805326.20117184,170763889.39044192,False,92.03651,93.6405,40.65589000000001,95.13355,67.31194,16.06672,12.53068,71.4026,65.9951,71.67512,90.2773,78.13786,96.30109,72.38072,3.909947823202691,Grande couronne,,489422347.8425542,Essonne (91),91,1.7909643547136098,5.551239578269494,0.48942234784255423
2015,Essonne,1971556.21947007,6511303.385817675,513192213.4643053,3.3026212093347422,0.9471979,0.4517323,0.9498056,0.6322742,78.8155893,260.29803684839635,0.914807,8.185049999999999,0.7666185,0.1473054,0.0976743,0.7550204,0.6252059,0.7219593,0.8716688,0.7828032,0.9487467,47024971.27799479,173545351.86551732,False,94.71979,91.4807,45.17323,94.98056,63.22742,14.73054,9.76743,75.50204000000001,62.52059,72.19593,87.16688,78.28032,94.87467,76.66185,4.192572937078336,Grande couronne,10.083498550999238,513192213.4643053,Essonne (91),91,1.97155621947007,6.5113033858176745,0.5131922134643053
2016,Essonne,1901362.3579378007,7321165.384537263,537200774.3642908,3.850484024769339,0.9362804,0.4531067,0.898685,0.6644051,73.376402,282.534663696053,0.9209561,12.89251,0.7946847,0.1511013,0.132686,0.7162127,0.5627808000000001,0.7176215,0.8936168,0.8324537000000001,0.9473578,45053118.14012324,168323588.77563253,False,93.62804,92.09561,45.31067,89.8685,66.44051,15.11013,13.2686,71.62127000000001,56.27808000000001,71.76215,89.36167999999999,83.24537000000001,94.73578,79.46847,4.2202680667389645,Grande couronne,-3.56032766598644,537200774.3642908,Essonne (91),91,1.9013623579378007,7.321165384537263,0.5372007743642908
2017,Essonne,1663921.4596791673,5434054.587509365,420481006.7602236,3.26581195037724,0.9273301,0.4809812,0.8801059,0.6189254,77.3788706,252.70484031217407,0.9362782,4.294429999999999,0.8294541000000001,0.1430066,0.1370707,0.7199227,0.559923,0.7453105,0.8885027999999999,0.7488079000000001,0.9521789,48126217.61867475,179606704.53159204,False,92.73301,93.62782,48.09812000000001,88.01059,61.89254,14.30066,13.707069999999998,71.99227,55.99229999999999,74.53105,88.85028,74.88079,95.21789,82.94541000000001,3.4574116604449388,Grande couronne,-12.487935151727712,420481006.7602236,Essonne (91),91,1.6639214596791672,5.434054587509364,0.42048100676022365
2018,Essonne,2150780.46266549,7790366.715865678,581070483.1548758,3.622111531648831,0.9031666,0.3968738,0.829101,0.6063434,74.5883351,270.16726869219724,0.8863438,8.09492,0.7795871,0.1370338,0.1313371,0.7316291,0.5507476,0.694543,0.886279,0.8087212,0.9432212,50072565.40452994,191943420.85517684,False,90.31666,88.63438000000001,39.68738,82.9101,60.63434,13.70338,13.13371,73.16291,55.07476,69.4543,88.62790000000001,80.87212000000001,94.32212,77.95871,4.295327082384548,Grande couronne,29.25973459589839,581070483.1548758,Essonne (91),91,2.15078046266549,7.790366715865678,0.5810704831548757
2019,Essonne,1972316.9902931573,7096192.936037748,474274611.93122834,3.597896773673789,0.9252674,0.4644222,0.833836,0.6150708,66.8350785,240.4657133033844,0.8822888,5.359219999999998,0.7484103999999999,0.1528873,0.1609696,0.686143,0.6189171,0.7527332,0.9130957,0.7966233,0.9523172,50584879.11865042,196361211.53661975,False,92.52674,88.22888,46.442220000000006,83.3836,61.50708,15.28873,16.09696,68.6143,61.89171,75.27332,91.30957,79.66233,95.23172,74.84103999999999,3.899024816619504,Grande couronne,-8.297614539010656,474274611.93122834,Essonne (91),91,1.9723169902931572,7.096192936037748,0.47427461193122833
2020,Essonne,990361.6324898445,4286773.158052396,260623901.4971392,4.328492762058161,0.9196919,0.4059558,0.8537451,0.7099052,60.7972225,263.16033754448955,0.9146065,8.384649999999999,0.8122765999999999,0.040416,0.1399666,0.8196174,0.6584114999999999,0.6902548,0.9124486,0.8023181,0.9144979,17411689.632677298,66128161.16805763,True,91.96919,91.46065000000002,40.595580000000005,85.37451,70.99052,4.0416,13.99666,81.96174,65.84115,69.02547999999999,91.24486,80.23181000000001,91.44979,81.22765999999999,5.68791227837641,Grande couronne,-49.78689341703429,260623901.4971392,Essonne (91),91,0.9903616324898444,4.286773158052396,0.2606239014971392
2021,Essonne,1123036.8187385476,4515932.796652763,291098791.09240097,4.021179645494874,0.9524768,0.5103254,0.8836249,0.7794222,64.4603904,259.20680981713315,0.9460739,10.445990000000004,0.8353309000000001,0.2049226,0.2551236,0.5399537,0.6405868,0.6618337,0.8910936,0.7612934,0.8748693999999999,22608370.153213795,82549300.81827837,True,95.24768,94.60739,51.03254,88.36249000000001,77.94221999999999,20.49226,25.51236,53.99537,64.05868,66.18337,89.10936000000001,76.12934,87.48693999999999,83.53309000000002,4.967349752007254,Grande couronne,13.396640368139836,291098791.09240097,Essonne (91),91,1.1230368187385475,4.515932796652764,0.29109879109240094
2022,Essonne,1587582.1092929754,7146712.683156459,425269056.039118,4.501633421870207,0.9274392,0.4016,0.870197,0.8039726,59.5055482,267.87216456382856,0.9603812,22.09105,0.7589543000000001,0.242124,0.2843162,0.4735598,0.6314706,0.7244767,0.9056818,0.8157999,0.9031871,44085351.650253415,171921744.81550583,False,92.74392,96.03812,40.16,87.0197,80.39726,24.2124,28.43162,47.35598,63.14706,72.44767,90.56818,81.57999000000001,90.31871,75.89543,3.6011555990023494,Grande couronne,41.36509888217456,425269056.039118,Essonne (91),91,1.5875821092929754,7.1467126831564585,0.42526905603911797
2023,Essonne,1700593.7758676207,7272141.718988379,438689924.6337194,4.276236819271097,0.9159425,0.3959715,0.8312672,0.7799264,60.3247216,257.9627956181984,0.9573555,9.43865,0.8171805,0.281423,0.2126008,0.5059762,0.5159838999999999,0.6576035,0.9051881,0.7322982,0.8878166000000001,47580278.49712865,175134811.62252828,False,91.59425,95.73555,39.59715,83.12671999999999,77.99264000000001,28.1423,21.26008,50.59762,51.59839,65.76035,90.51881,73.22982,88.78166,81.71804999999999,3.574156834685714,Grande couronne,7.118476953924269,438689924.6337194,Essonne (91),91,1.7005937758676206,7.2721417189883795,0.43868992463371936
2024,Essonne,1623476.726234218,6617499.707897112,414100722.2191905,4.076128472286094,0.9222505,0.4692208999999999,0.8460772000000001,0.7732936,62.5766136,255.07031639420524,0.9584262,14.198129999999995,0.8346534999999999,0.2823154,0.1982465,0.5194381,0.5876632,0.7125769,0.9136234,0.7236583,0.9355953,48660960.24694117,180395847.01733667,False,92.22505,95.84261999999998,46.92209,84.60772000000001,77.32936000000001,28.23154,19.82465,51.94381,58.76632000000001,71.25769,91.36234,72.36583,93.55953,83.46535,3.336302280093764,Grande couronne,-4.534713153002034,414100722.2191905,Essonne (91),91,1.623476726234218,6.617499707897112,0.4141007222191905
2025,Essonne,1815804.880051332,8191548.323607123,413560032.29361737,4.511249206123706,0.9472748,0.369699,0.8305508,0.7989513,50.486186,227.75576651271373,0.9681945,-5.356660000000008,0.8517704,0.1822758,0.2470413,0.570683,0.5873946999999999,0.6647197,0.9055897,0.7233392000000001,0.9472741,49033379.80237833,175116048.7889526,False,94.72748,96.81945,36.9699,83.05508,79.89513000000001,18.22758,24.70413,57.06830000000001,58.73947,66.47197,90.55897,72.33392,94.72741,85.17704,3.703201548352696,Grande couronne,11.846683768804889,413560032.29361737,Essonne (91),91,1.815804880051332,8.191548323607124,0.4135600322936174
2014,Hauts-de-Seine,4384265.270699649,15842965.675321972,1663420707.6046884,3.6135965086788016,0.8657293,0.5891808000000002,0.9440415,0.6053804,104.9942758,379.4069484621392,0.904779,21.19205,0.665166,0.2080698,0.3218773,0.4700529,0.5900591,0.7336524,0.8576656,0.7794825999999999,0.9371707,45805326.20117184,170763889.39044192,False,86.57293,90.4779,58.91808000000002,94.40415000000002,60.53804,20.80698,32.187729999999995,47.00529,59.00590999999999,73.36524,85.76656,77.94825999999999,93.71707,66.5166,9.571518498622735,Petite couronne,,1663420707.6046884,Hauts-de-Seine (92),92,4.384265270699649,15.842965675321972,1.6634207076046883
